n_pred,n_std,min_cell,alpha,nested_rw
3,1,400,3.0,82.48076245999835
3,1,250,3.0,82.48076245999835
3,1,600,1.0,82.48077216284067
3,1,250,1.0,82.48077216284067
3,1,150,1.0,82.48077216284067
3,1,400,1.0,82.48077216284067
3,1,600,0.5,82.4807743989616
3,1,150,0.5,82.4807743989616
3,1,250,0.5,82.4807743989616
3,1,400,0.5,82.4807743989616
6,4,400,10.0,82.4852904505709
6,4,400,3.0,82.48542799524557
4,4,600,3.0,82.49744982663908
4,4,600,10.0,82.4975896281733
4,4,600,0.5,82.49935975211736
4,4,600,1.0,82.49945246522178
5,1,400,10.0,82.50364268973154
5,1,600,10.0,82.50364268973154
5,1,250,10.0,82.50364268973154
5,1,150,10.0,82.50364268973154
5,1,150,3.0,82.50408429159327
5,1,400,3.0,82.50408429159327
5,1,250,3.0,82.50408429159327
5,1,600,3.0,82.50408429159327
5,1,150,1.0,82.50418503720618
5,1,400,1.0,82.50418503720618
5,1,250,1.0,82.50418503720618
5,1,600,1.0,82.50418503720618
5,1,600,0.5,82.50421212350729
5,1,400,0.5,82.50421212350729
5,1,150,0.5,82.50421212350729
5,1,250,0.5,82.50421212350729
4,1,400,10.0,82.52553739847644
4,1,150,10.0,82.52553739847644
4,1,250,10.0,82.52553739847644
4,1,600,10.0,82.52553739847644
4,1,600,3.0,82.52563744560237
4,1,150,3.0,82.52563744560237
4,1,250,3.0,82.52563744560237
4,1,400,3.0,82.52563744560237
4,1,150,1.0,82.52566264571952
4,1,250,1.0,82.52566264571952
4,1,600,1.0,82.52566264571952
4,1,400,1.0,82.52566264571952
4,1,250,0.5,82.52566899080233
4,1,400,0.5,82.52566899080233
4,1,600,0.5,82.52566899080233
4,1,150,0.5,82.52566899080233
5,3,600,3.0,82.54591667314116
5,3,600,0.5,82.54665282125607
5,3,600,1.0,82.54665423938374
5,3,600,10.0,82.54883867187219
8,1,400,3.0,82.56107627698493
8,1,150,3.0,82.56107627698493
8,1,600,3.0,82.56107627698493
8,1,250,3.0,82.56107627698493
8,1,250,1.0,82.56248542988754
8,1,600,1.0,82.56248542988754
8,1,400,1.0,82.56248542988754
8,1,150,1.0,82.56248542988754
8,1,600,0.5,82.56254106161485
8,1,150,0.5,82.56254106161485
8,1,400,0.5,82.56254106161485
8,1,250,0.5,82.56254106161485
8,1,250,10.0,82.56313226783467
8,1,400,10.0,82.56313226783467
8,1,150,10.0,82.56313226783467
8,1,600,10.0,82.56313226783467
3,4,600,3.0,82.6443842796934
3,4,600,10.0,82.64450001485173
3,4,600,0.5,82.64601160455591
3,4,600,1.0,82.64674480450573
2,2,150,10.0,82.66931765050964
2,2,250,10.0,82.66931765050964
2,2,600,10.0,82.66931765050964
2,2,400,10.0,82.66931765050964
2,2,250,1.0,82.67043769723624
2,2,600,1.0,82.67043769723624
2,2,400,1.0,82.67043769723624
2,2,150,1.0,82.67043769723624
2,2,250,0.5,82.67044222004492
2,2,150,0.5,82.67044222004492
2,2,600,0.5,82.67044222004492
2,2,400,0.5,82.67044222004492
2,2,600,3.0,82.67064471322543
2,2,250,3.0,82.67064471322543
2,2,400,3.0,82.67064471322543
2,2,150,3.0,82.67064471322543
2,3,400,10.0,82.67385823594618
2,3,250,10.0,82.67385823594618
2,3,150,10.0,82.67385823594618
2,3,600,10.0,82.67385823594618
2,3,400,0.5,82.67978522759152
2,3,250,0.5,82.67978522759152
2,3,150,0.5,82.67978522759152
2,3,600,0.5,82.67978522759152
2,3,150,1.0,82.6798000597646
2,3,250,1.0,82.6798000597646
2,3,600,1.0,82.6798000597646
2,3,400,1.0,82.6798000597646
2,3,400,3.0,82.67995175099684
2,3,250,3.0,82.67995175099684
2,3,150,3.0,82.67995175099684
2,3,600,3.0,82.67995175099684
6,1,150,0.5,82.68675420695682
6,1,400,0.5,82.68675420695682
6,1,250,0.5,82.68675420695682
6,1,600,0.5,82.68675420695682
6,1,400,1.0,82.68676713093294
6,1,150,1.0,82.68676713093294
6,1,250,1.0,82.68676713093294
6,1,600,1.0,82.68676713093294
6,1,600,10.0,82.6872484220665
6,1,150,10.0,82.6872484220665
6,1,400,10.0,82.6872484220665
6,1,250,10.0,82.6872484220665
6,1,150,3.0,82.68767765571533
6,1,600,3.0,82.68767765571533
6,1,400,3.0,82.68767765571533
6,1,250,3.0,82.68767765571533
3,2,600,3.0,82.76770503698268
3,2,400,3.0,82.76770503698268
3,2,150,3.0,82.76770503698268
3,2,250,3.0,82.76770503698268
3,2,600,10.0,82.76853874645593
3,2,400,10.0,82.76853874645593
3,2,250,10.0,82.76853874645593
3,2,150,10.0,82.76853874645593
3,2,250,1.0,82.76940522990017
3,2,600,1.0,82.76940522990017
3,2,150,1.0,82.76940522990017
3,2,400,1.0,82.76940522990017
3,2,400,0.5,82.76940804187505
3,2,250,0.5,82.76940804187505
3,2,150,0.5,82.76940804187505
3,2,600,0.5,82.76940804187505
5,4,400,0.5,82.7696687764829
5,4,400,3.0,82.770314236632
5,4,400,10.0,82.77041268537027
5,4,400,1.0,82.77042685300785
4,3,600,1.0,82.77056774989688
4,3,600,0.5,82.77156041992885
4,3,600,3.0,82.77217880281115
4,3,600,10.0,82.772598696983
2,4,400,1.0,82.80346547674844
2,4,600,1.0,82.80346547674844
2,4,250,1.0,82.80346547674844
2,4,150,1.0,82.80346547674844
2,4,250,0.5,82.80459872030826
2,4,400,0.5,82.80459872030826
2,4,600,0.5,82.80459872030826
2,4,150,0.5,82.80459872030826
2,4,150,3.0,82.80507200773269
2,4,250,3.0,82.80507200773269
2,4,400,3.0,82.80507200773269
2,4,600,3.0,82.80507200773269
2,4,150,10.0,82.80700878408665
2,4,250,10.0,82.80700878408665
2,4,400,10.0,82.80700878408665
2,4,600,10.0,82.80700878408665
3,3,600,1.0,82.81706170086782
3,3,250,1.0,82.81706170086782
3,3,150,1.0,82.81706170086782
3,3,400,1.0,82.81706170086782
3,3,250,0.5,82.81717027694214
3,3,400,0.5,82.81717027694214
3,3,600,0.5,82.81717027694214
3,3,150,0.5,82.81717027694214
3,3,150,10.0,82.81718170105663
3,3,250,10.0,82.81718170105663
3,3,600,10.0,82.81718170105663
3,3,400,10.0,82.81718170105663
3,3,150,3.0,82.81843537952128
3,3,250,3.0,82.81843537952128
3,3,600,3.0,82.81843537952128
3,3,400,3.0,82.81843537952128
4,3,400,0.5,82.82049095632507
